id;raison_social;forme_juridique;secter_activite;mobile;tel_fix;email;site_web;adresse;type_importateur;fax
1;distributed;TCP Jewelery;back-end;withdrawal;Factors Guadeloupe deposit;Shany_Keeling21@hotmail.com;Identity motivating;compressing;Intelligent;overriding Awesome Soft Salad
2;coherent Metal Soft;definition;extranet ivory;Internal;Regional;Derick.Muller@hotmail.com;enterprise reinvent deposit;Central whiteboard;Licensed;Maldives back up web services
3;Multi-layered;plug-and-play Gloves alliance;payment Iranian Rial;yellow;overriding Assistant Jersey;Jovani_Mills29@hotmail.com;protocol Future open-source;Bedfordshire Congolese Franc;pixel Synchronised;Seamless
4;blue e-services;innovate;Parkways;array Grocery Universal;didactic Response port;Toni.Wintheiser17@gmail.com;Awesome Granite Gloves;Villages withdrawal;Tasty Soft Mouse;methodical Handcrafted Fresh Pizza
5;navigating;repurpose;hard drive;Bedfordshire solution-oriented;synergies Dynamic hack;Kaylah_Crona@gmail.com;Bike interface;Credit Card Account Tasty Metal Shoes;motivating;Savings Account
6;Awesome Strategist;View leverage;invoice navigate;Kuwaiti Dinar;Facilitator;Ova_Tromp@yahoo.com;New Hampshire input;Sleek fault-tolerant;protocol e-services robust;calculating global
7;optimize alarm;Advanced forecast National;communities;virtual Rand Loti;payment bypass Avon;Maryam.Hickle74@yahoo.com;Russian Federation JBOD;web-enabled;Specialist reintermediate;Cotton viral
8;invoice Sports Intelligent Cotton Car;Zambian Kwacha;Branding Optimization open system;synergistic;Shirt Small Metal Table;Tressa.West1@gmail.com;proactive Programmable;mobile;firewall Checking Account;Latvian Lats Distributed card
9;Cambridgeshire Electronics Music;Branding primary disintermediate;Home Loan Account;Investment Account Music Wisconsin;flexibility;Alivia.Reichert@gmail.com;Unbranded;Manat Orchestrator;alarm Solutions;frictionless Rest Tennessee
10;New Caledonia;Facilitator Borders Soap;fuchsia Tuna overriding;Facilitator;Keyboard;Taylor17@hotmail.com;USB Sleek Metal Chicken;Montana;Turkish Lira internet solution Personal Loan Account;implementation Automotive initiatives
