id;nom_exportateur;adresse_exportateur;nom_producteur;adresse_producteur;nom_importateur;adresse_importateur;pay_origine;autre_origine;pay_autre_origine;detail_transport;observation;etat_certificat;type_certificats;nom_signataire;prenom_signataire;email_signataire
1;revolutionize Cross-platform utilize;Kids hacking Credit Card Account;repurpose;Facilitator open-source Auto Loan Account;Wyoming River Executive;Customer;Soap;true;Investment Account;programming International;Refined Fish copy;Forward Reunion;system engine back-end 1080p;website;reciprocal Frozen Ville;SCSI calculate Barbados
2;Auto Loan Account Flats digital;iterate;Administrator;plum;Tennessee aggregate Pants;Brand National magenta;Keyboard Course integrate;true;users open-source;Avon;Future-proofed SMTP;Bhutan bypass;GB;Gorgeous Walk;Tuna green;Shoes
3;e-markets withdrawal Frozen;reboot;Money Market Account Meadows Sleek;Games feed;Open-source input User-friendly;Money Market Account Generic Handmade Metal Fish;Gorgeous;true;driver Kids;wireless COM GB;backing up;best-of-breed bypassing;Advanced;Avon Cambridgeshire;Colorado User-centric;Versatile
4;Future;technologies stable Cayman Islands;teal mission-critical;THX;Granite;radical Officer;Architect;true;payment;sensor Accountability;Texas Rustic;payment;markets Handcrafted Fresh Shoes Fresh;online;connecting Accounts teal;Virtual Plastic backing up
5;back-end Right-sized;Group;Ergonomic Wooden Tuna;Expressway;payment;Books;Avon International;true;collaboration Synergistic Investment Account;navigate;USB Principal Well;feed Wisconsin;orchid;gold SAS;parsing;sensor
6;Cambridgeshire;Optimized input SDD;Bedfordshire;Intuitive;tan;Identity;Specialist indexing toolset;true;envisioneer Pants copying;Money Market Account;technologies;violet;magenta one-to-one Human;SMS Director;quantifying open-source;payment Ports Iowa
7;Cross-group synthesizing;Analyst;Arizona;invoice;Administrator;IB intuitive Fresh;quantifying SAS Specialist;true;Russian Ruble connect;Exclusive Metal back up;Money Market Account invoice proactive;morph;Sleek Soft Towels Generic;paradigms;communities compelling Kenya;Concrete Hong Kong navigate
8;Plastic;Cambridgeshire matrix;IB;program models bus;Security;support;hack;false;Moroccan Dirham;input Auto Loan Account override;Missouri;Principal Ohio Wisconsin;expedite Belize Dollar;Planner invoice connect;extend incentivize;Movies Rustic Granite Table
9;whiteboard;invoice;Louisiana;Virginia Synchronised;Business-focused;Implemented;Progressive Gorgeous driver;true;Toys Turkmenistan;Awesome;transparent Games;Ergonomic;payment Regional magenta;streamline Rial Omani withdrawal;Dominican Peso;tan
10;Licensed;Som;maroon Car Shoes;JBOD Applications;morph definition;Portugal Montana Chair;granular Forward Turkmenistan;false;Handmade Steel;payment platforms;Supervisor;Virgin Islands, British Handmade Concrete Sausages Wooden;invoice matrix firewall;connecting;Division;Route
