id;nom_produit;description;marque;hs_code;qte;unite_mesure;nbr_coli;poid_net;poid_reel;date_facture;numero_facture
1;conglomeration Marketing solutions;Health Future Grocery;Stand-alone Cambridgeshire Accountability;Infrastructure logistical Avon;Division;Trafficway auxiliary Myanmar;Unions GB Soap;Balanced;exuding Shores;2020-08-16;China Credit Card Account
2;Accounts;web-readiness;navigate Handmade Steel Table Sleek Fresh Cheese;THX Computer Land;emulation;Borders non-volatile Buckinghamshire;hack SMTP;array Beauty;Ball Chair Handmade;2020-08-17;Field
3;Corporate Implementation;24/365 metrics;Multi-channelled Shirt;orange synergies;indexing Netherlands Antillian Guilder FTP;Avon;Keyboard platforms Liaison;Incredible Steel Bike;Steel instruction set;2020-08-17;background Polarised Pants
4;quantify Music Surinam Dollar;Home Loan Account orchid;Turkey ability Customizable;calculate;strategize grow Coordinator;Communications calculate;synthesize Boliviano Mvdol;invoice Nicaragua Keyboard;Gibraltar Pound;2020-08-17;backing up Avon
5;mint green Principal Refined;Granite scalable;back-end;initiative;Nevada deposit;tan Gambia impactful;Granite;Checking Account Uganda Shilling;Fantastic Wisconsin SMTP;2020-08-17;Credit Card Account Chief
6;online adapter;matrix pixel innovative;Unbranded Chief;connect FTP Manager;distributed;Global;firewall viral National;Specialist alarm Auto Loan Account;innovate Future Zimbabwe Dollar;2020-08-17;actuating Research
7;Toys South Dakota Pennsylvania;Colorado;Rubber Bedfordshire USB;Cambridgeshire Awesome primary;Director Swedish Krona;Personal Loan Account;deposit 1080p;Rustic Metal Fish Tennessee out-of-the-box;Locks Response;2020-08-17;ROI
8;transmit mobile solid state;Accountability Metal;Solutions Cambridgeshire;Michigan Bosnia and Herzegovina;Intranet deposit Avon;transmitting forecast;violet;black;Awesome Health Executive;2020-08-17;Wisconsin Product
9;Borders Equatorial Guinea Towels;Station;Cuba;digital;Auto Loan Account morph copy;withdrawal;teal;encryption;Outdoors Bike;2020-08-16;Concrete
10;upward-trending matrix Corporate;Car program;projection;Implementation Mongolia;pixel;Handcrafted Cotton Fish Handmade;monitor lime;Concrete Buckinghamshire;Ergonomic Wooden Chips Radial Generic Plastic Cheese;2020-08-16;Kuwait
