id;raison_social;forme_juridique;secter_activite;rc;rc_content_type;nif;nif_content_type;nis;nis_content_type;code_activite;code_activite_export;mobile;tel_fix;email;site_web;adresse;type_exportateur;fax;solde_certif
1;Iceland Krona matrix Sao Tome and Principe;Avon;Wooden;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Consultant;payment Tuna;Generic monitoring Shirt;Soft B2C Somoni;Carlos76@yahoo.com;Plastic;Networked encompassing;Baby innovate Shirt;synthesize Principal;Personal Loan Account Credit Card Account
2;Planner Small Wooden Keyboard Operations;Dalasi;SDD navigate AGP;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Generic 1080p Auto Loan Account;payment Music Parks;frictionless Handcrafted Concrete Tuna;Tugrik Fantastic solid state;Yesenia.Lockman27@hotmail.com;Generic Wooden Pants;gold;Rand Loti;New Israeli Sheqel;focus group Fantastic Soft Gloves
3;backing up fuchsia;invoice Sausages;calculating;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;USB Steel;Alabama Maine;Bedfordshire standardization;neural knowledge user;Alec.Dickens@hotmail.com;virtual;New Zealand Intelligent;sexy;Movies service-desk;expedite Sausages Ergonomic
4;flexibility Investment Account;Borders optimize View;Baby Response;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Down-sized synthesize Web;invoice indexing;Money Market Account;matrices backing up;Freida_Kulas@yahoo.com;Grocery;Re-contextualized Music;Lead Practical Rustic;user-centric sensor card;Cambridgeshire Courts markets
5;Barbados Virginia bandwidth;Personal Loan Account;withdrawal;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;grow;Avon Unbranded;withdrawal Home Loan Account;Intelligent Steel Shirt Sausages;Tracey17@hotmail.com;Checking Account quantifying;District;user-centric Wyoming;Borders Shoes Forint;Mouse
6;SDD groupware Tools;Afghani function Ergonomic;interface Village;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;olive;Ergonomic Marketing;Direct Orchestrator;Avon Norfolk Island;Ora.Dickinson59@yahoo.com;payment wireless;interface functionalities connect;5th generation Unbranded;Savings Account Directives Hong Kong Dollar;Boliviano Mvdol
7;attitude;deliver action-items Metal;cross-platform Money Market Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;ivory;teal help-desk Investor;Nevada Path maximize;metrics transmitting Up-sized;Erling.Keebler62@gmail.com;overriding Kiribati;Interactions Group;capability Bedfordshire Bulgaria;Gorgeous ivory;generate Awesome Plastic Shirt monetize
8;Borders Awesome B2B;orchid;Streamlined;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Tenge Drive encoding;haptic;matrix;Overpass empower Point;Ansel_Swift42@yahoo.com;disintermediate;Hong Kong Michigan;International;Bike Data;Virginia
9;port Buckinghamshire withdrawal;Internal;concept;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Orchestrator Rustic Steel Table Sleek Cotton Soap;bypass;Consultant Illinois;Grocery Islands Fantastic;Rosalee27@gmail.com;panel;framework;National zero defect;Mexican Peso Mexican Unidad de Inversion (UDI) Qatari Rial;Branding Human
10;tan Malta;Jamaican Dollar;B2C teal;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Granite Plastic;Rubber;Platinum Associate;B2C;Nathaniel62@yahoo.com;Function-based synergies Sleek Metal Car;auxiliary Intranet USB;Liaison;web-enabled Cambridgeshire;override B2B
